Убить пересмешника, Харпер Ли
Гордость и предубеждение, Джейн Остен
Дневник Анны Франк, Анна Франк
1984, Джордж Оруэлл
Гарри Поттер и философский камень, Джоан Роулинг
Властелин колец, Дж. Р. Р. Толкин
Великий Гэтсби, Ф. С. Фицджеральд
Паутина Шарлотты, Элвин Брукс Уайт
Маленькие женщины, Луиза Мэй Олкотт
Хоббит, Дж. Р. Р. Толкин
451° по Фаренгейту, Рэй Брэдбери
Джейн Эйр, Шарлотта Бронте
Унесенные ветром, Маргарет Митчелл
Скотный двор, Джордж Оруэлл
Над пропастью во ржи, Джером Д. Сэлинджер
Приключения Гекльберри Финна, Марк Твен
Прислуга, Кэтрин Стокетт
Гроздья гнева, Джон Стейнбек
Лев, Колдунья и Платяной шкаф, Клайв С. Льюис
Голодные игры, Сьюзен Коллинз
Книжный вор, Маркус Зусак
Повелитель мух, Уильям Голдинг
Бегущий за ветром, Халед Хоссейни
Ночь, Эли Визель
Гамлет, Уильям Шекспир
Повесть о двух городах, Чарльз Диккенс
Складка времени, Мадлен Л’Энгль
Автостопом по Галактике, Дуглас Адамс
Рождественская песнь в прозе, Чарльз Диккенс
О мышах и людях, Джон Стейнбек
Таинственный сад, Фрэнсис Элиза Бёрнетт
Ромео и Джульетта, Уильям Шекспир
Рассказ Служанки, Маргарет Этвуд
О дивный новый мир, Олдос Хаксли
Маленький принц, Антуан де Сент-Экзюпери
Там, где кончается тротуар, Шел Силверстин
Грозовой перевал, Эмили Бронте
Дающий, Лоис Лоури
Аня из Зеленых Мезонинов, Люси Мод Монтгомери
Макбет, Уильям Шекспир
Приключения Тома Сойера, Марк Твен
Гарри Поттер и Дары Смерти, Джоан Роулинг
Франкенштейн, Мэри Шелли
Библия
Девушка с татуировкой дракона, Стиг Ларссон
Граф Монте-Кристо, Александр Дюма
Виноваты звёзды, Джон Грин
Цвет пурпурный, Элис Уокер
К востоку от рая, Джон Стейнбек
Дерево растет в Бруклине, Бетти Смит
Уловка-Джозеф Хеллер
Хладнокровное убийство, Трумен Капоте
Противостояние, Стивен Кинг
Алиса в Стране чудес и в Зазеркалье, Льюис Кэрролл
Обитатели холмов, Ричард Адамс
Анна Каренина, Лев Толстой
Игра Эндера, Орсон Скотт Кард
Большие надежды, Чарльз Диккенс
Ребекка, Дафна Дюморье
Мемуары гейши, Артур Голден
Приключения Шерлока Холмса, Артур Конан Дойл
Гарри Поттер и узник Азкабана, Джоан Роулинг
Старик и море, Эрнест Хемингуэй
Песнь Льда и Огня: Игра престолов, Джордж Р. Р. Мартин
Принцесса-невеста, Уильям Голдман
Чарли и Шоколадная фабрика, Роальд Даль
Жизнь Пи, Янн Мартел
Столпы Земли, Кен Фоллетт
Отверженные, Виктор Гюго
Алая буква, Натаниэль Готорн
Дракула, Брэм Стокер
Гарри Поттер и Принц-полукровка, Джоан Роулинг
Голодные игры: И вспыхнет пламя, Сьюзен Коллинз
Воды слонам, Сара Груэн
Ворон, Эдгар Аллан По
Тайная жизнь пчёл, Сью Монк Кидд
Чужестранка, Диана Гэблдон
Сто лет одиночества, Габриэль Гарсиа Маркес
Библия ядовитого леса, Барбара Кингсолвер
Земля, Перл Бак
Жена путешественника во времени, Одри Ниффенеггер
Празднуя тишину, Шри Шри Рави Шанкар
Молитва об Оуэне Мини, Джон Ирвинг
Десять негритят, Агата Кристи
Бессмертная жизнь Генриетты Лакс, Ребекка Склут
Поющие в терновнике, Колин Маккалоу
Замок из стекла, Джаннетт Уоллс
Сойка-пересмешница, Сьюзен Коллинз
Вещи, которые они несли с собой, Тим О’Брайен
Дорога, Кормак Маккарти
Резка по камню, Абрахам Верес
Братья Карамазовы, Федор Достоевский
Сиддхартха, Герман Гессе
Возлюбленная, Тони Моррисон
История моей жизни, Хелен Келлер
Призрачная будка, Джоан Джастер
Из архива Миссис Базиль Э. Франквайлер, самого запутанного в мире, Элейн Конигсбург
Исчезнувшая, Гиллиан Флинн
Преступление и наказание, Федор Достоевский
Одиссея, Гомер
